source_id,designation,ra,dec,phot_g_mean_mag,parallax,bp_rp,ph_qual,j_m,h_m,ks_m
604906737317927296,08520715+1149254,133.02972942766417,11.823727025673374,13.264436,1.1570041195447474,0.740324,AAA,12.312,12.079,12.014
604917934296938240,08514245+1149519,132.9268333531552,11.831089645075568,12.405653,1.172419008532738,0.7626152,AAA,11.427,11.156,11.097
604918179110923392,08513425+1150544,132.89268700719853,11.848460302513542,13.5574465,1.1072005613942684,0.72383595,AAA,12.585,12.341,12.257
604907218354250496,08521867+1151339,133.0778891508009,11.859358002312232,12.083039,2.9866675575542154,0.74406433,AAA,11.137,10.837,10.803
604921374566324992,08511969+1152107,132.83199152304246,11.869638921895689,13.745495,1.1417129723773067,0.8191881,AAA,12.717,12.368,12.305
604921271487102464,08512552+1152388,132.85629405396207,11.87744089449727,13.119683,1.14643050404975,0.7652111,AAA,12.15,11.897,11.81
604921855602675840,08510752+1152561,132.78127078733152,11.882246851764018,13.732728,1.1172560393619997,0.7682867,AAA,12.744,12.493,12.413
604921438990241280,08511576+1152587,132.81560950891807,11.882997663173676,12.6730175,1.2440520907271904,0.74487686,AAA,11.728,11.453,11.391
604969203322163840,08504811+1154476,132.70041475145578,11.913238056840608,13.95246,1.1281623824642129,0.7931795,AAA,12.963,12.668,12.611
604924497006948736,08513795+1158491,132.9079756454988,11.980314706148244,12.583746,5.259112145498908,1.1637669,AAA,11.138,10.686,10.579
604979987984213632,08494779+1158506,132.44905831010325,11.980702618949046,13.207407,1.1517035789481922,0.73400307,AAA,12.292,12.034,11.975
604948381320634880,08514042+1201501,132.91841386338848,12.030625796572226,12.50526,1.281584079905263,0.70580006,AAA,11.596,11.355,11.281
604974322923167488,08504037+1202385,132.66817765209467,12.044008196478378,13.70182,1.1506098304151269,0.74299717,AAA,12.786,12.515,12.466
604975250636113792,08502777+1203583,132.6157724516098,12.066119220065424,13.032523,1.6130154283238427,0.82019997,AAA,11.999,11.664,11.629
604973085972551296,08510470+1204193,132.76953337602475,12.072005630471182,13.405049,1.1485572710917131,0.7436886,AAA,12.472,12.194,12.136
604995656025104768,08512799+1204198,132.86656156439935,12.072211703930616,12.061599,3.0312809685521507,0.7552662,AAA,11.128,10.869,10.801
604987237889006336,08502305+1206148,132.59604508491157,12.104049467788922,13.347563,1.0096340606750631,0.8258352,AAA,12.286,12.058,11.906
604941097056229760,08535725+1206357,133.48848257716904,12.109926760251462,13.717589,0.0635161552461933,1.3545427,AAA,11.982,11.329,11.231
604950133667243520,08522398+1206524,133.09994409287407,12.114531004068027,13.618591,1.3800058190616915,0.8791647,AAA,12.511,12.157,12.088
605032287801286016,08542999+1208140,133.6248877595375,12.137240621768782,13.577126,1.6324331661030314,0.8675146,AAA,12.509,12.206,12.156
601998318607804032,08473793+1208384,131.90803831066953,12.14398359782805,12.5760765,0.8961207564523231,0.6060333,AAA,11.777,11.572,11.529
607991515972636800,08481206+1209193,132.05027350598166,12.1553131895745,11.6741905,0.5622326358880106,1.1629353,AAA,10.182,9.685,9.562
604992258706635520,08493387+1210146,132.39087730250452,12.170842774554602,7.6000934,16.694126797894192,0.67128706,AAA,6.723,6.52,6.467
601999250616455168,08473559+1210146,131.8983060301823,12.17069243211625,8.218385,1.5435949287383588,1.4184194,AAA,6.391,5.752,5.612
